,N,chi,f_tree,f_mps,f_omps,mem_tree,mem_mps,mem_omps
515,230,10,0.00018506651238675684,0.0001867291315450779,6.545641843940997e-05,976,888,888
516,230,11,0.0002628174741124215,8.103809868333106e-05,3.0522942097246206e-05,1056,1004,1004
517,230,12,0.0002932603720749137,0.0010061931975933849,0.00014011945740897663,1136,1128,1128
518,230,13,0.0004606063431986885,0.0011261441074081524,0.0008517111910936784,1216,1260,1260
519,230,14,0.0020295740393810897,0.0017840224546332062,0.0015962669226912637,1296,1400,1400
520,230,15,0.004403205080737526,0.004453560107446187,0.0019188840291660678,1376,1548,1548
521,230,16,0.016393448147599878,0.0035822462568537946,0.003080532257567875,1456,1704,1704
522,230,17,0.025515091066329983,0.006155196960456837,0.005863600774393285,1456,1768,1768
523,230,18,0.04582299473426792,0.00852124999092273,0.0060691777450766265,1456,1832,1832
524,230,19,0.06070255967124598,0.012432684826649264,0.012615975150704051,1456,1896,1896
525,260,5,4.6180766518037395e-07,3.7211807674561005e-07,6.298793584922233e-07,462,320,320
526,260,6,1.5626941351614105e-06,0.00021243856498384802,1.656684713253815e-06,556,294,424
527,260,7,9.08418827086655e-06,6.131117378378796e-06,2.406782948659886e-07,654,288,544
528,260,8,3.62347279968732e-06,7.964020004285807e-06,3.6081722231527976e-05,756,680,656
529,260,9,1.1047775495076908e-05,1.83112959871382e-05,1.5900126470532188e-05,836,780,780
530,260,10,1.6375018859360124e-05,1.0515181527221243e-05,0.00036652816043723953,916,888,888
531,260,11,1.871325084434371e-05,0.00043551550334515715,0.00019474583023229613,996,1004,1004
532,260,12,0.00010462055346086934,0.0003639642423858724,0.00022417529222354973,1076,1128,1128
533,260,13,0.00023342586541290954,0.0005819914377778354,0.00013712751481875627,1156,1260,1260
534,260,14,0.000562838530037751,0.001518665256514322,0.0006638670765711507,1236,1400,1400
535,260,15,0.0003366193480432169,0.0005992300151007703,0.0007085003951873822,1316,1548,1548
536,260,16,0.0028772019639748576,0.0008270791793624009,0.0004457399892090958,1396,1704,1704
537,260,17,0.005784502165222181,0.0011317381794869526,0.0010459008121733529,1396,1768,1768
538,260,18,0.01051406896077735,0.00048816735043854463,0.0028601845734158044,1396,1832,1832
539,260,19,0.02157143964154085,0.0030670937084243287,0.006102621670895775,1396,1896,1896
540,260,5,1.1138224007340252e-06,2.6408794252838516e-07,1.0567265727741894e-06,364,320,320
541,260,6,1.0696921269034717e-06,1.0139794790207556e-06,1.5338880265281613e-06,448,424,424
542,260,7,1.6057362504520523e-06,2.9028772994744745e-06,2.7081479930270185e-06,540,544,544
543,260,8,1.3442595736255097e-06,3.013976166124488e-06,1.0768247668632924e-05,640,680,680
544,260,9,8.943009131990747e-07,1.46906783006722e-06,6.240838039365218e-05,704,780,626
545,260,10,9.364960938301042e-06,3.7203732320785592e-06,0.00019959552068465729,768,888,684
546,260,11,1.928362845257634e-05,7.583506562802091e-06,3.587701296260455e-05,832,1004,1004
547,260,12,1.9120649296773465e-05,5.165028123844685e-05,4.8594944796842117e-05,896,1128,1128
548,260,13,3.608912999024308e-05,2.9629821774908515e-05,0.00022329455876914266,960,1260,1260
549,260,14,3.525732669535297e-05,9.10887433879864e-05,0.0006930932330174068,1024,1400,1400
550,260,15,4.4682554346685034e-05,5.7867774108755945e-05,0.0008615723255207688,1088,1548,1548
551,260,16,0.000207704512525428,0.0007431695336042236,0.000451385302063246,1152,1704,1704
552,260,17,9.187191691621106e-05,0.0015450934446358162,0.001069631779468508,1216,1768,1768
553,260,18,2.016625933319674e-05,0.0025578834884463606,0.0018998027681175202,1280,1832,1832
554,260,19,0.00048773299718550474,0.002648743010694992,0.004106988368686871,1344,1896,1896
555,260,5,1.153866454172633e-07,4.29590597286321e-06,2.397068504520711e-07,432,242,320
556,260,6,2.3485073205342075e-06,1.1868789658487778e-05,8.748557718828312e-06,656,424,404
557,260,7,6.304806179163705e-07,3.7935115069600705e-06,1.9566987426998366e-08,956,544,544
558,260,8,2.0074940940244562e-05,0.00013644539418986948,8.107665281358185e-06,1344,440,680
559,260,9,2.4970127766081118e-05,0.00022945921601238197,0.0005439559758789227,1488,512,640
560,260,10,8.531922016505334e-05,0.00014385692669615808,0.0001521392070755059,1632,888,888
561,260,11,0.00022213227951829828,1.2023857267965157e-05,0.00036126036338618916,1776,1004,1004
562,260,12,0.0003663296386670444,1.2062614893683536e-05,0.00021130508568481714,1920,1128,1128
563,260,13,0.0029994822240232756,0.00026706525492614316,0.00010331307600156765,2064,1260,1260
564,260,14,0.022816267426783762,0.00015159669196933317,0.0003556025868762356,2208,1400,1400
565,260,15,0.1386324773902163,0.00112371101816422,5.500594436792566e-05,2352,1548,1548
566,260,16,0.9999999999998419,0.0002621134961758557,0.001917732170996392,2496,1704,1704
567,260,17,0.9999999999998419,0.000324532844663165,0.0010994454770219474,2496,1768,1768
568,260,18,0.9999999999998419,0.002524799918816733,0.00525583559459457,2496,1832,1832
569,260,19,0.9999999999998419,0.00277497794525682,0.008278263597772858,2496,1896,1896
570,260,5,1.248700264037739e-07,5.859607950417967e-07,2.308819608038613e-06,318,320,306
571,260,6,3.826094566598832e-08,2.36947436905093e-06,4.5412007382240406e-05,408,424,342
572,260,7,1.576115162040857e-06,3.039272170273079e-06,5.180822302830826e-06,510,544,544
573,260,8,1.2166428551278495e-06,1.6693123805375126e-05,0.00018745756260393754,624,680,522
574,260,9,2.3647156846393334e-06,2.2212372109249887e-05,9.414685673491155e-05,724,780,754
575,260,10,1.6624884560856033e-06,5.209812271619404e-05,4.0020847698064744e-05,832,888,888
576,260,11,5.702561997479535e-06,3.118798002143702e-05,2.1560981096515014e-05,948,1004,1004
577,260,12,2.1297110857389985e-05,0.00010572245296941878,0.0001350041818922447,1072,1128,1128
